Site Name	Program Type	Lattitude	Longitude	Address Line1	Address Line2	City	State	Zip	County	OneDay	OpenDate	CloseDate	Active	Active Date	OpenToPublic	Appointment	ApptPhone	EFile	StateEFile	SERPLanguage	Days & Hours of Operation	Additional Info
Beulah Baptist Church	VITA 	33.6976204	-84.2947998	2340 Clifton Springs Road		Decatur	GA	30034	Dekalb	FALSE	1/31/15 0:00	4/11/15 0:00	TRUE	12/31/14 0:00	TRUE	FALSE		TRUE	TRUE	English	Sat 10:00 am - 2:00 pm	
Center For Pan Asian Community Service (CPACS) - AIM-IRS	VITA 	33.8914185	-84.2870255	3510 Shallowford Rd NE		Atlanta	GA	30341	Dekalb	FALSE	1/31/15 0:00	4/11/15 0:00	TRUE	1/14/15 0:00	TRUE	TRUE	7709360969	TRUE	TRUE	English		
Clayton County Headquarter Library	VITA 	33.5543751	-84.3628677	865 Battle Creek Road		Jonesboro	GA	30236	Clayton	FALSE	1/31/15 0:00	4/15/15 0:00	TRUE	12/31/14 0:00	TRUE	FALSE		TRUE	TRUE	English	Sat 9:00 am - 4:00 pm	
Dept of Family - Children Services	VITA 	32.0583	-81.09687	1816 Abercorn Street		Savannah	GA	31401	Chatham	FALSE	1/31/15 0:00	4/11/15 0:00	TRUE	1/14/15 0:00	TRUE	FALSE		TRUE	TRUE	English	Sat 10:00 am - 2:00 pm	
First Assembly of God-McDonough	VITA 	33.4477386	-84.147728	338 Hwy 42N		Mcdonough	GA	30253	Henry	FALSE	1/31/15 0:00	4/11/15 0:00	TRUE	12/31/14 0:00	TRUE	FALSE		TRUE	TRUE	English	Sat 9:00 am - 1:00 pm	
Hillcrest Church In Christ	VITA 	33.7213554	-84.2329712	1939 Snapfinger Road		Decatur	GA	30035	Dekalb	FALSE	1/31/15 0:00	4/11/15 0:00	TRUE	12/31/14 0:00	TRUE	TRUE	4042894573	TRUE	TRUE	English		
Saint Joseph's Candler Health Care Hospital	VITA 	31.9885933	-81.1577453	11700 Middleground Road		Savannah	GA	31415	Chatham	FALSE	1/31/15 0:00	4/11/15 0:00	TRUE	12/31/14 0:00	TRUE	FALSE		TRUE	TRUE	English	Sat 9:00 am - 2:00 pm	
Saint Philips Ame Church	VITA 	33.7454376	-84.2900543	"240 Candler Road, SE"		Atlanta	GA	30317	Dekalb	FALSE	1/31/15 0:00	4/15/15 0:00	TRUE	1/14/15 0:00	TRUE	FALSE		TRUE	TRUE	English	Sat 10:00 am - 2:00 pm	
West End Mall	VITA 	33.7406089	-84.4159064	"850 Oak Street, Sw"		Atlanta	GA	30310	Fulton	FALSE	1/31/15 0:00	4/15/15 0:00	TRUE	1/14/15 0:00	TRUE	FALSE		TRUE	TRUE	English	"Wed 12:00 pm - 5:00 pm, Thu, Fri 11:00 am - 5:00 pm, Sat 9:00 am - 2:00 pm"	
Atlanta Workforce Development Agency	VITA 	33.7321398	-84.3908378	818 Pollard Boulevard SW		Atlanta	GA	30315	Fulton	FALSE	2/2/15 0:00	4/15/15 0:00	TRUE	1/14/15 0:00	TRUE	FALSE		TRUE	TRUE	English	"Mon - Tues, Thurs - Fri 8:30 am - 3:00 pm"	City of Atlanta residents only
CASH Mobile	VITA 	30.8397274	-83.2779383	601 N Lee Street	P.O. Box 4206	Valdosta	GA	31604	Lowndes	FALSE	2/2/15 0:00	4/14/15 0:00	TRUE	12/23/14 0:00	TRUE	TRUE	2292342364	TRUE	TRUE	English		
First Congregational	VITA 	33.75736	-84.3841618	105 Courtland Street NE		Atlanta	GA	30303	Fulton	FALSE	2/2/15 0:00	4/14/15 0:00	TRUE	12/31/14 0:00	TRUE	FALSE		TRUE	TRUE	English	Tues 11:00 am - 4:00 pm	
Fountain of Faith Missionary Baptist Church	VITA 	33.5715637	-84.4470596	6712 West Fayetteville Road		Riverdale	GA	30296	Clayton	FALSE	2/2/15 0:00	4/11/15 0:00	TRUE	1/14/15 0:00	TRUE	FALSE		TRUE	TRUE	English	"Mon 9:00 am - 3:00 pm, Thu, Sat 9:00 am - 1:00 pm"	
Goodwill Industries of the Southern Rivers Valdosta	VITA 	30.8390435	-83.3186737	1000 North Saint Augustine Rd		Valdosta	GA	31601	Lowndes	FALSE	2/2/15 0:00	4/15/15 0:00	TRUE	12/23/14 0:00	TRUE	TRUE	2292342364	TRUE	TRUE	English		
Lowndes Associated Ministries to People	VITA 	30.8397274	-83.2779383	601 N Lee Street		Valdosta	GA	31601	Lowndes	FALSE	2/2/15 0:00	12/1/15 0:00	TRUE	1/14/15 0:00	TRUE	TRUE	2292342364	TRUE	TRUE	English		
United Way of Greater Atlanta Mobile Program	VITA 	33.7549667	-84.3853531	100 Edgewood Ave		Atlanta	GA	30303	Fulton	FALSE	2/2/15 0:00	4/15/15 0:00	TRUE	1/14/15 0:00	TRUE	TRUE	9999999999	TRUE	TRUE	English		
Community Assistance Center	VITA 	33.988224	-84.3500443	1130 Hightower Trail		Atlanta	GA	30350	Fulton	FALSE	2/3/15 0:00	4/14/15 0:00	TRUE	1/14/15 0:00	TRUE	FALSE		TRUE	TRUE	"English,Spanish"	"Mon, Tues 4:00 pm - 8:00 pm"	
Goodwill Industries Coastal Empire - Brunswick	VITA 	31.2135985	-81.4829008	249 Village At Glenn Place		Brunswick	GA	31525	Glynn	FALSE	2/3/15 0:00	4/15/15 0:00	TRUE	1/14/15 0:00	TRUE	TRUE	9122809809	TRUE	TRUE	English		
Offerman City Hall	VITA 	31.4077422	-82.1150874	6113 Carter Dr		Offerman	GA	31556	Pierce	FALSE	2/3/15 0:00	4/13/15 0:00	TRUE	12/23/14 0:00	TRUE	TRUE	9126471944	TRUE	TRUE	English		
United Way Bryan Co Richmond Hill Library	VITA 	31.9523051	-81.3156798	9607 Ford Avenue		Richmond Hill	GA	31324	Bryan	FALSE	2/3/15 0:00	3/26/15 0:00	TRUE	12/31/14 0:00	TRUE	FALSE		TRUE	TRUE	English	"Tues, Thurs 3:00 pm - 6:00 pm"	
St. Phillip United Methodist Church/Osborne High School	VITA 	33.8948366	-84.5663475	2400 Favor Road		Marietta	GA	30060	Cobb	FALSE	2/6/15 0:00	4/15/15 0:00	TRUE	1/14/15 0:00	TRUE	FALSE		TRUE	TRUE	"English,Spanish"	"Mon - Wed, Fri 12:30 pm - 2:00 pm"	
BPSOS	VITA 	33.9111519	-84.2064056	6107 Oakbrook Parkway		Norcross	GA	30093	Gwinnett	FALSE	2/7/15 0:00	4/11/15 0:00	TRUE	1/14/15 0:00	TRUE	TRUE	7704586700	TRUE	TRUE	"English,Vietnamese"		
Carrollton @ Catherine Hardy Lavender	VITA 	33.585418	-85.089622	425 Willie North Street	Rm 112	Carrollton	GA	30117	Carroll	FALSE	2/7/15 0:00	4/11/15 0:00	TRUE	1/14/15 0:00	TRUE	FALSE		TRUE	TRUE	English	Sat 10:00 am - 2:00 pm	
Clarkston Community Center	VITA 	33.805366	-84.238265	3701 College Avenue		Clarkston	GA	30021	Dekalb	FALSE	2/7/15 0:00	4/11/15 0:00	TRUE	12/31/14 0:00	TRUE	FALSE		TRUE	TRUE	English	Sat 10:00 am - 2:00 pm	
Clayton State University	VITA 	33.594207	-84.330101	2000 Clayton State Blvd.	School of Business	Morrow	GA	30260	Clayton	FALSE	2/7/15 0:00	3/28/15 0:00	TRUE	12/31/14 0:00	TRUE	FALSE		TRUE	TRUE	English	Sat 9:00 am - 1:00 pm	
Elizabeth Baptist Church	VITA 	33.735668	-84.526802	4245 Cascade Rd. SW		Atlanta	GA	30331	Fulton	FALSE	2/7/15 0:00	3/7/15 0:00	TRUE	12/31/14 0:00	TRUE	FALSE		TRUE	TRUE	English	Sat 9:00 am - 1:00 pm	
Georgia Gwinnett College	VITA 	33.9801423	-84.0022105	1000 University Center Lane		Lawrenceville	GA	30043	Gwinnett	FALSE	2/7/15 0:00	4/11/15 0:00	TRUE	12/31/14 0:00	TRUE	FALSE		TRUE	TRUE	English	Sat 9:00 am - 1:00 pm	
North Fulton Community Charities	VITA 	34.052833	-84.335159	11270 Elkins Road		Roswell	GA	30076	Fulton	FALSE	2/7/15 0:00	4/4/15 0:00	TRUE	1/14/15 0:00	TRUE	FALSE		TRUE	TRUE	"English,Spanish"	Sat 10:00 am - 2:00 pm	
Saint Paul Ame - Atlanta	VITA 	33.7127075	-84.3929367	1540 Pryor Road		Atlanta	GA	30315	Fulton	TRUE	2/7/15 0:00	2/7/15 0:00	TRUE	1/14/15 0:00	TRUE	FALSE		TRUE	TRUE	English	Sat 9:00 am - 4:00 pm	
St. Philip Benizi Catholic Church	VITA 	33.519527	-84.374366	591 Flint River Road		Jonesboro	GA	30238	Clayton	FALSE	2/7/15 0:00	4/11/15 0:00	TRUE	12/31/14 0:00	TRUE	FALSE		TRUE	TRUE	"English,Spanish"	Sat 9:00 am - 2:00 pm	
Army Fort Buchanan	Military VITA	18.413159	-66.122193	Welcome Center	Building 150 - Tax Assistance Service Center	Ft Buchanan	PR	934	San Juan	FALSE	2/2/15 0:00	4/15/15 0:00	TRUE	12/24/14 0:00	TRUE	TRUE	7877075154	TRUE	FALSE	"English,Spanish"		
Warren County Family Connection	VITA	33.3428387	-82.6979441	1857 Mitchell Road		Warrenton	GA	30828	Warren	FALSE	1/15/15 0:00	4/30/15 0:00	TRUE	12/4/14 0:00	TRUE	TRUE	7064651006	TRUE	TRUE	English		
Greene County Family Connection	VITA	33.5683621	-83.1832912	101 E. Third Street		Greensboro	GA	30642	Greene	FALSE	1/21/15 0:00	4/30/15 0:00	TRUE	12/4/14 0:00	TRUE	TRUE	7064535128	TRUE	TRUE	English		
Georgia United Credit Union - Dalton	VITA	34.765399	-84.96379	605 Calhoun Street		Dalton	GA	30720	Whitfield	FALSE	1/23/15 0:00	3/21/15 0:00	TRUE	12/4/14 0:00	TRUE	FALSE		TRUE	TRUE	"English,Spanish"	"Fri 6:00 pm - 9:00 pm, Sat 9:00 am - 4:00 pm"	
30901 Development Corporation	VITA	33.462905	-81.99028	1446 Lee Beard Way		Augusta	GA	30901	Richmond	FALSE	1/26/15 0:00	4/15/15 0:00	TRUE	1/14/15 0:00	TRUE	TRUE	7068230905	TRUE	TRUE	English		
Action Ministries-Augusta (AUM)	VITA	33.46487	-81.994934	1500 Wrightsboro Road		Augusta	GA	30909	Richmond	FALSE	1/26/15 0:00	4/15/15 0:00	TRUE	1/14/15 0:00	TRUE	FALSE	7067228195	TRUE	TRUE	English	Sat 9:00 am - 1:30 pm	
Action Ministries	VITA	33.960251	-83.377815	465 North Lumpkin Street		Athens	GA	30601	Clarke	FALSE	1/27/15 0:00	3/4/15 0:00	TRUE	12/4/14 0:00	TRUE	TRUE	7063536647	TRUE	TRUE	"English,Spanish"		
Georgia United Credit Union	VITA	33.937362	-83.32621	190 Gaines School Road		Athens	GA	30605	Clarke	FALSE	1/27/15 0:00	4/11/15 0:00	TRUE	12/4/14 0:00	TRUE	FALSE	8884934328	TRUE	TRUE	"English,Spanish"	"Tues - Thurs 5:00 pm - 9:00 pm, Sat 9:00 am - 1:00 pm"	Appointments @ www.georgiaunitedcu.org/memberbenefit
Camden Community Services Center (CGACAA St Marys)	VITA	30.729965	-81.545455	106 East Hall St.		Saint Marys	GA	31558	Camden	FALSE	1/28/15 0:00	4/15/15 0:00	TRUE	12/31/14 0:00	TRUE	FALSE	9127292580	TRUE	TRUE	English	Mon - Fri 11:00 am - 2:00 pm	
Community Church Of God	VITA	32.7876006	-83.7029269	5555 Bethesda Ave		Macon	GA	31206	Bibb	FALSE	1/28/15 0:00	4/15/15 0:00	TRUE	12/31/14 0:00	TRUE	TRUE	4787424043	TRUE	TRUE	English		
Family Investment Center/ Macon Housing Authority	VITA	32.8208313	-83.6493301	150 SESSIONS DR		Macon	GA	31201	Bibb	FALSE	1/28/15 0:00	4/15/15 0:00	TRUE	1/14/15 0:00	TRUE	TRUE	4787525185	TRUE	TRUE	English		
Hancock Community Development Corporation	VITA	33.9494464	-83.3961841	300 Henderson Extension		Athens	GA	30606	Clarke	FALSE	1/28/15 0:00	4/15/15 0:00	TRUE	12/31/14 0:00	TRUE	FALSE	7065461154	TRUE	TRUE	English	"Mon - Wed 10:00 am - 4:00 pm, Thu 3:00 pm - 7:00 pm, Fri 10:00 am - 5:00 pm, Sat 12:00 pm - 4:00 pm"	
Macon-Bibb County Senior Center	VITA	32.833461	-83.648994	1283 Adams Street		Macon	GA	31201	Bibb	FALSE	1/28/15 0:00	4/15/15 0:00	TRUE	12/31/14 0:00	TRUE	FALSE	4787512790	TRUE	TRUE	English	Mon - Fri 10:00 am - 4:00 pm	
Berry College Campbell School	VITA	34.2832985	-85.1819916	2277 Martha Berry Hwy		Mount Berry	GA	30149	Floyd	FALSE	1/30/15 0:00	4/11/15 0:00	TRUE	12/23/14 0:00	TRUE	FALSE		TRUE	TRUE	English	"Fri 3:00 pm - 6:00 pm, Sat 11:00 am - 4:00 pm"	
Caribe Federal Credit Union	VITA	18.4515228	-66.0694809	195 Oneill St	Caribe Federal Credit Union	SAN JUAN	PR	918	San Juan	FALSE	1/31/15 0:00	4/15/15 0:00	TRUE	12/31/14 0:00	TRUE	TRUE	7874745147	TRUE	FALSE	"Spanish,English"		
University of Puerto Rico at Mayaguez	VITA	18.20368	-67.1468964	Adm Empresas Las Marias AE105 Blg152	RUM - Colegio de Mayaguez	Mayaguez	PR	680	Territory	FALSE	2/2/15 0:00	4/15/15 0:00	TRUE	12/24/14 0:00	TRUE	FALSE		TRUE	FALSE	"English,Spanish"	"Mon - Thurs 4:00 pm - 7:00 pm, Sat 9:00 am - 2:00 pm "	
Colquitt County VITA Service	VITA	31.1965357	-83.7676299	800 Veterans Parkway North	350 Bldg 1 Room 132	Moultrie	GA	31788	Colquitt	FALSE	2/3/15 0:00	2/26/15 0:00	TRUE	12/23/14 0:00	TRUE	TRUE	2292174197	TRUE	TRUE	English		
First African/ Camden Library	VITA	30.7866445	-81.6458879	1410 E Hwy 40		Kingsland	GA	31548	Camden	FALSE	2/3/15 0:00	4/15/15 0:00	TRUE	1/14/15 0:00	TRUE	FALSE		TRUE	TRUE	English	Tues - Thurs 6:00 pm - 8:00 pm	
